Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\Users\pocs.geza\Desktop\Udacity\RoboND-Rover-Project\recorded_dataset\IMG\robocam_2018_01_24_15_53_16_848.jpg;-13.18826;0;0;0;99.66999;85.58897;0.0002400201;41.64878;8.136677E-06
C:\Users\pocs.geza\Desktop\Udacity\RoboND-Rover-Project\recorded_dataset\IMG\robocam_2018_01_24_15_53_16_890.jpg;-15;0;0;0;99.66999;85.58897;0.0002405539;39.84883;1.370192E-05
C:\Users\pocs.geza\Desktop\Udacity\RoboND-Rover-Project\recorded_dataset\IMG\robocam_2018_01_24_15_53_16_937.jpg;-15;0;0;0;99.66999;85.58897;0.0002409646;38.04887;1.874766E-05
C:\Users\pocs.geza\Desktop\Udacity\RoboND-Rover-Project\recorded_dataset\IMG\robocam_2018_01_24_15_53_16_983.jpg;-15;0;0;0;99.66999;85.58897;0.0002395026;35.3489;2.536836E-05
C:\Users\pocs.geza\Desktop\Udacity\RoboND-Rover-Project\recorded_dataset\IMG\robocam_2018_01_24_15_53_17_023.jpg;-15;0;0;0;99.66999;85.58897;0.0002386873;33.5489;2.916158E-05
C:\Users\pocs.geza\Desktop\Udacity\RoboND-Rover-Project\recorded_dataset\IMG\robocam_2018_01_24_15_53_17_066.jpg;-15;0;0;0;99.66999;85.58897;0.0002389668;31.74894;3.266245E-05
C:\Users\pocs.geza\Desktop\Udacity\RoboND-Rover-Project\recorded_dataset\IMG\robocam_2018_01_24_15_53_17_110.jpg;-15;0;0;0;99.66999;85.58897;0.0002387218;29.94894;3.516633E-05
C:\Users\pocs.geza\Desktop\Udacity\RoboND-Rover-Project\recorded_dataset\IMG\robocam_2018_01_24_15_53_17_154.jpg;-15;0;0;0;99.66999;85.58897;0.0002388804;28.14894;3.674267E-05
C:\Users\pocs.geza\Desktop\Udacity\RoboND-Rover-Project\recorded_dataset\IMG\robocam_2018_01_24_15_53_17_195.jpg;-13.07148;0;0;0;99.66999;85.58897;0.0002392746;26.5804;3.744087E-05
C:\Users\pocs.geza\Desktop\Udacity\RoboND-Rover-Project\recorded_dataset\IMG\robocam_2018_01_24_15_53_17_236.jpg;-11.23431;0;0;0;99.66999;85.58897;0.0002398994;25.23228;3.66425E-05
C:\Users\pocs.geza\Desktop\Udacity\RoboND-Rover-Project\recorded_dataset\IMG\robocam_2018_01_24_15_53_17_283.jpg;-9.333609;0;0;0;99.66999;85.58897;0.0002395267;23.55228;3.415655E-05
C:\Users\pocs.geza\Desktop\Udacity\RoboND-Rover-Project\recorded_dataset\IMG\robocam_2018_01_24_15_53_17_323.jpg;-4.569165;0;0;0;99.66999;85.58897;0.0002401111;23.00401;2.927202E-05
C:\Users\pocs.geza\Desktop\Udacity\RoboND-Rover-Project\recorded_dataset\IMG\robocam_2018_01_24_15_53_17_367.jpg;-5.198945;0;0;0;99.66999;85.58897;0.0002403549;22.38013;2.481439E-05
C:\Users\pocs.geza\Desktop\Udacity\RoboND-Rover-Project\recorded_dataset\IMG\robocam_2018_01_24_15_53_17_411.jpg;-3.463864;0;0;0;99.66999;85.58897;0.00023986;21.96448;1.910477E-05
C:\Users\pocs.geza\Desktop\Udacity\RoboND-Rover-Project\recorded_dataset\IMG\robocam_2018_01_24_15_53_17_452.jpg;-1.485201;0;0;0;99.66999;85.58897;0.0002397532;21.78628;1.401227E-05
C:\Users\pocs.geza\Desktop\Udacity\RoboND-Rover-Project\recorded_dataset\IMG\robocam_2018_01_24_15_53_17_494.jpg;0;0;0;0;99.67;85.58897;0.0002410407;21.78628;7.924022E-06
C:\Users\pocs.geza\Desktop\Udacity\RoboND-Rover-Project\recorded_dataset\IMG\robocam_2018_01_24_15_53_17_536.jpg;0;0.1269267;0;0;99.66968;85.58885;359.9928;21.78638;2.242406E-06
C:\Users\pocs.geza\Desktop\Udacity\RoboND-Rover-Project\recorded_dataset\IMG\robocam_2018_01_24_15_53_17_579.jpg;0;0.2530771;0;0.01189237;99.67106;85.58941;0.02560217;21.79494;2.308857E-05
C:\Users\pocs.geza\Desktop\Udacity\RoboND-Rover-Project\recorded_dataset\IMG\robocam_2018_01_24_15_53_17_623.jpg;0;0.3812308;0;0.02021738;99.67273;85.59007;0.06401041;21.83817;-3.915688E-05
C:\Users\pocs.geza\Desktop\Udacity\RoboND-Rover-Project\recorded_dataset\IMG\robocam_2018_01_24_15_53_17_669.jpg;0;0.5128456;0;0.03473437;99.67518;85.59106;0.1188031;21.77164;6.381638E-05
C:\Users\pocs.geza\Desktop\Udacity\RoboND-Rover-Project\recorded_dataset\IMG\robocam_2018_01_24_15_53_17_751.jpg;0;0.2611481;0;0.05252948;99.6815;85.59358;0.2480821;21.96484;-0.0007447378
C:\Users\pocs.geza\Desktop\Udacity\RoboND-Rover-Project\recorded_dataset\IMG\robocam_2018_01_24_15_53_17_795.jpg;0;0.1301505;0;0.05671555;99.68518;85.59506;0.31755;21.97117;-0.0007680078
C:\Users\pocs.geza\Desktop\Udacity\RoboND-Rover-Project\recorded_dataset\IMG\robocam_2018_01_24_15_53_17_836.jpg;0;0;0;0.08066694;99.68882;85.59653;0.3796574;21.97182;-0.0007158248
C:\Users\pocs.geza\Desktop\Udacity\RoboND-Rover-Project\recorded_dataset\IMG\robocam_2018_01_24_15_53_17_880.jpg;0;0;0;0.07108808;99.69382;85.59853;0.4432687;21.97157;-8.053726E-05
C:\Users\pocs.geza\Desktop\Udacity\RoboND-Rover-Project\recorded_dataset\IMG\robocam_2018_01_24_15_53_17_924.jpg;1.978774;0;0;0.07134407;99.69682;85.59976;0.46916;22.20934;-0.0001151966
C:\Users\pocs.geza\Desktop\Udacity\RoboND-Rover-Project\recorded_dataset\IMG\robocam_2018_01_24_15_53_17_966.jpg;3.921453;0;0;0.06907106;99.69925;85.60078;0.4764356;22.68024;-0.001427946
C:\Users\pocs.geza\Desktop\Udacity\RoboND-Rover-Project\recorded_dataset\IMG\robocam_2018_01_24_15_53_18_008.jpg;5.779484;0;0;0.06098299;99.70087;85.60147;0.4600888;23.37388;-0.004361523
C:\Users\pocs.geza\Desktop\Udacity\RoboND-Rover-Project\recorded_dataset\IMG\robocam_2018_01_24_15_53_18_054.jpg;7.730037;0;0;0.04832809;99.70166;85.60183;0.4209218;24.30166;359.9922
C:\Users\pocs.geza\Desktop\Udacity\RoboND-Rover-Project\recorded_dataset\IMG\robocam_2018_01_24_15_53_18_096.jpg;9.749697;0;0;0.03634508;99.70193;85.60196;0.3676881;25.47182;359.9893
C:\Users\pocs.geza\Desktop\Udacity\RoboND-Rover-Project\recorded_dataset\IMG\robocam_2018_01_24_15_53_18_139.jpg;11.66027;0;0;0.02960994;99.70202;85.602;0.3093822;26.87116;359.9877
C:\Users\pocs.geza\Desktop\Udacity\RoboND-Rover-Project\recorded_dataset\IMG\robocam_2018_01_24_15_53_18_183.jpg;13.61701;0;0;0.02748659;99.70209;85.60203;0.22142;29.32231;359.9895
C:\Users\pocs.geza\Desktop\Udacity\RoboND-Rover-Project\recorded_dataset\IMG\robocam_2018_01_24_15_53_18_227.jpg;15;0;0;0.02687646;99.70214;85.60204;0.1643563;31.12237;359.9942
C:\Users\pocs.geza\Desktop\Udacity\RoboND-Rover-Project\recorded_dataset\IMG\robocam_2018_01_24_15_53_18_268.jpg;15;0;0;0.02646239;99.70219;85.60207;0.1093231;32.92257;0.002076428
C:\Users\pocs.geza\Desktop\Udacity\RoboND-Rover-Project\recorded_dataset\IMG\robocam_2018_01_24_15_53_18_312.jpg;15;0;0;0.0258636;99.70226;85.60209;0.05681887;34.72289;0.01268858
C:\Users\pocs.geza\Desktop\Udacity\RoboND-Rover-Project\recorded_dataset\IMG\robocam_2018_01_24_15_53_18_354.jpg;15;0;0;0.02507415;99.70232;85.60211;0.007274006;36.52346;0.02563801
C:\Users\pocs.geza\Desktop\Udacity\RoboND-Rover-Project\recorded_dataset\IMG\robocam_2018_01_24_15_53_18_397.jpg;15;0;0;0.02410898;99.70238;85.60213;359.9611;38.32434;0.04049174
C:\Users\pocs.geza\Desktop\Udacity\RoboND-Rover-Project\recorded_dataset\IMG\robocam_2018_01_24_15_53_18_441.jpg;15;0;0;0.0229851;99.70248;85.60217;359.8985;41.02628;0.06537849
C:\Users\pocs.geza\Desktop\Udacity\RoboND-Rover-Project\recorded_dataset\IMG\robocam_2018_01_24_15_53_18_482.jpg;13.03668;0;0;0.02104185;99.70256;85.60221;359.8615;42.5924;0.08258826
C:\Users\pocs.geza\Desktop\Udacity\RoboND-Rover-Project\recorded_dataset\IMG\robocam_2018_01_24_15_53_18_527.jpg;11.16391;0;0;0.01968691;99.70264;85.60225;359.8282;43.93386;0.09934771
C:\Users\pocs.geza\Desktop\Udacity\RoboND-Rover-Project\recorded_dataset\IMG\robocam_2018_01_24_15_53_18_569.jpg;9.137503;0;0;0.01830474;99.70273;85.6023;359.7987;45.03172;0.114912
C:\Users\pocs.geza\Desktop\Udacity\RoboND-Rover-Project\recorded_dataset\IMG\robocam_2018_01_24_15_53_18_613.jpg;7.233546;0;0;0.01696917;99.70283;85.60238;359.7729;45.90041;0.1287435
